Gss year for this respondent                       ;Fathers highest degree;Mothers highest degree;Respondents sex;Race of respondent;Number of persons in household;Respondents income;Total family income;Vote obama or mccain;Vote obama or romney;Rs highest degree;Age of respondent;Number of children;Respondent id number;Number of hours worked last week;Rs occupational prestige score  (1970);Govt or private employee;Travel time to work;Marital status;Fathers census occupation code (1970);Mothers census occupation code (1980);Number of brothers and sisters;Ballot used for interview
2018;Not applicable;Junior college;Female;White;5;Not applicable;Not applicable;Not applicable;Obama;Graduate;53;3;48;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Graduate;Bachelor;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;Bachelor;75;1;49;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot b
2018;Not applicable;Graduate;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;67;2;50;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot a
2018;Bachelor;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;51;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Lt high school;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Obama;High school;42;3;52;40;0;Private;Not applicable;Separated;Not applicable;Not applicable;2;Ballot a
2018;Graduate;Graduate;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;59;2;53;55;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot b
2018;Graduate;Graduate;Female;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;33;1;54;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Graduate;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;46;2;55;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;55;1;56;40;0;Government;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot c
2018;Lt high school;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Obama;Bachelor;43;2;57;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;High school;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;No answer;High school;45;2;58;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;10;Ballot a
2018;High school;Don't know;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;23;0;59;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Not applicable;High school;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;28;2;60;29;0;Private;Not applicable;Separated;Not applicable;Not applicable;5;Ballot b
2018;High school;High school;Female;Black;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;27;1;61;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;10;Ballot a
2018;Don't know;Lt high school;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;Lt high school;42;3;62;25;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;High school;High school;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;41;0;63;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;Lt high school;Lt high school;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;64;1;64;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;8;Ballot a
2018;High school;High school;Male;Black;1;Not applicable;Not applicable;Not applicable;No answer;Lt high school;53;4;65;Not applicable;0;No answer;Not applicable;Never married;Not applicable;Not applicable;7;Ballot b
2018;Lt high school;Lt high school;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;79;4;66;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;6;Ballot a
2018;Not applicable;Bachelor;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;34;3;67;45;0;Government;Not applicable;Married;Not applicable;Not applicable;8;Ballot a
2018;Not applicable;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;High school;59;3;68;Not applicable;0;Government;Not applicable;Separated;Not applicable;Not applicable;3;Ballot c
2018;Bachelor;Bachelor;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;32;0;69;55;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;High school;Female;Black;5;Not applicable;Not applicable;Not applicable;Obama;Bachelor;33;3;70;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;35;0;71;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;5;Ballot b
2018;Graduate;Graduate;Male;Black;2;Not applicable;Not applicable;Not applicable;Obama;Junior college;37;0;72;75;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;High school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;28;0;73;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;High school;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;42;2;74;45;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Graduate;Junior college;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;75;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Not applicable;Lt high school;Female;Black;11;Not applicable;Not applicable;Not applicable;Romney;Junior college;33;2;76;32;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;Junior college;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;37;2;77;50;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Lt high school;Female;White;3;Not applicable;Not applicable;Not applicable;No answer;Lt high school;89 or older;3;78;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;10;Ballot b
2018;High school;Not applicable;Female;Other;2;Not applicable;Not applicable;Not applicable;No answer;Junior college;47;1;79;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;No answer;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;No answer;Lt high school;63;Dk na;80;No answer;0;No answer;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;Lt high school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;71;0;81;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;10;Ballot a
2018;High school;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;High school;42;1;82;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;37;1;83;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;7;Ballot b
2018;Junior college;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;High school;40;4;84;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;70;4;85;20;0;Private;Not applicable;Separated;Not applicable;Not applicable;5;Ballot c
2018;Lt high school;High school;Male;Black;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;28;0;86;42;0;Government;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Obama;High school;53;2;87;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;6;Ballot b
2018;Not applicable;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Obama;High school;46;2;88;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;0;Ballot c
2018;Graduate;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;55;0;89;35;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Graduate;Bachelor;Male;Other;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;28;0;90;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Graduate;Graduate;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;42;0;91;Not applicable;0;Government;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Junior college;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;77;0;92;3;0;Don't know;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Graduate;Bachelor;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;29;0;93;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;Lt high school;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;Lt high school;62;1;94;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;6;Ballot b
2018;Not applicable;High school;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;30;2;95;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;High school;High school;Male;Black;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;96;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Lt high school;Lt high school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;High school;69;1;97;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;4;Ballot c
2018;Bachelor;Graduate;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;45;0;98;Not applicable;0;Government;Not applicable;Separated;Not applicable;Not applicable;2;Ballot a
2018;Graduate;Lt high school;Female;Other;3;Not applicable;Not applicable;Not applicable;Obama;High school;32;1;99;Not applicable;0;Not applicable;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;Lt high school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;60;1;100;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot c
2018;Don't know;Don't know;Male;Other;1;Not applicable;Not applicable;Not applicable;Romney;Lt high school;48;1;101;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot a
2018;Lt high school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Obama;High school;81;1;102;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;4;Ballot a
2018;High school;High school;Male;Other;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;50;0;103;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;78;2;104;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Lt high school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;56;0;105;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;High school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;60;0;106;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot a
2018;High school;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;23;0;107;64;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Don't know;Don't know;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;67;0;108;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;54;5;109;30;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Junior college;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Junior college;62;2;110;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Lt high school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Junior college;55;2;111;36;0;Private;Not applicable;Divorced;Not applicable;Not applicable;5;Ballot c
2018;Don't know;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;56;1;112;28;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Not applicable;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Junior college;58;0;113;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;74;1;114;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot b
2018;High school;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;70;3;115;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;High school;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;35;2;116;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;Lt high school;Male;Black;2;Not applicable;Not applicable;Not applicable;Obama;Lt high school;65;2;117;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Don't know;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;42;2;118;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;Not applicable;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;48;2;119;16;0;Private;Not applicable;Married;Not applicable;Not applicable;0;Ballot c
2018;Not applicable;Graduate;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;32;0;120;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;5;Ballot a
2018;Lt high school;High school;Female;White;5;Not applicable;Not applicable;Not applicable;Not applicable;High school;56;3;121;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;High school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;61;2;122;40;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot a
2018;Lt high school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;76;2;123;12;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot c
2018;Bachelor;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;No answer;Bachelor;59;2;124;30;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Lt high school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;69;0;125;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;Junior college;High school;Male;Other;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;48;0;126;40;0;Government;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;Bachelor;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;68;2;127;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Bachelor;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;39;0;128;15;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;Graduate;Male;White;3;Not applicable;Not applicable;Not applicable;Don't know;Graduate;38;2;129;50;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Graduate;Bachelor;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;Graduate;39;1;130;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot c
2018;Lt high school;Lt high school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;52;4;131;Not applicable;0;Not applicable;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;Bachelor;Junior college;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;41;1;132;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;60;3;133;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;69;2;134;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;60;0;135;55;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;High school;Female;Other;6;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;136;40;0;Government;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;High school;Junior college;Male;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;33;0;137;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;High school;High school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;35;0;138;55;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Lt high school;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;38;2;139;40;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot b
2018;Lt high school;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;25;0;140;6;0;Government;Not applicable;Never married;Not applicable;Not applicable;4;Ballot a
2018;Lt high school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;Junior college;55;2;141;40;0;Government;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot c
2018;Bachelor;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;34;0;142;22;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Not applicable;High school;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;49;0;143;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;7;Ballot a
2018;Bachelor;Bachelor;Male;Black;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;18;0;144;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;Lt high school;Lt high school;Male;Other;1;Not applicable;Not applicable;Not applicable;Obama;High school;56;3;145;65;0;Private;Not applicable;Divorced;Not applicable;Not applicable;6;Ballot b
2018;Not applicable;High school;Male;Black;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;19;0;146;45;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;Bachelor;Male;Black;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;34;0;147;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;5;Ballot b
